"AnimalID","SprVI","IndivYr","Sex"
141110,0,"141110-14","Female"
140360,0,"140360-14","Female"
140920,0.140762154785523,"140920-14","Female"
140900,0,"140900-14","Female"
141090,0.209219332735596,"141090-14","Female"
140100,0.0330160766632954,"140100-14","Female"
141160,0,"141160-14","Female"
141000,0,"141000-14","Female"
140120,0,"140120-14","Female"
140040,0,"140040-14","Female"
140060,0,"140060-14","Female"
140070,0.264551067670805,"140070-14","Female"
140290,0.00854118609670585,"140290-14","Female"
140300,0,"140300-14","Female"
140320,0,"140320-14","Female"
140340,0,"140340-14","Female"
140400,0.0169272810202229,"140400-14","Female"
140560,0,"140560-14","Female"
140600,0,"140600-14","Female"
140630,0,"140630-14","Female"
140650,0.196826805523211,"140650-14","Female"
140680,0,"140680-14","Female"
140710,0.0248799668118976,"140710-14","Female"
140800,0,"140800-14","Female"
140850,0,"140850-14","Female"
140890,0,"140890-14","Female"
140940,0.0153756529984334,"140940-14","Female"
140960,0.0113511849738838,"140960-14","Female"
140980,0,"140980-14","Female"
141010,0,"141010-14","Female"
141060,0,"141060-14","Female"
141070,0,"141070-14","Female"
141080,0,"141080-14","Female"
141100,0.00830038383136555,"141100-14","Female"
141120,0,"141120-14","Female"
141130,0,"141130-14","Female"
141150,0,"141150-14","Female"
141490,0.00847605509634699,"141490-14","Female"
140050,0,"140050-14","Female"
140380,0.129077026701285,"140380-14","Female"
140480,0.0488011203604596,"140480-14","Female"
140910,0,"140910-14","Female"
140100,0,"140100-15","Female"
141160,0,"141160-15","Female"
151110,0.171012862554575,"151110-15","Female"
141000,0,"141000-15","Female"
140120,0,"140120-15","Female"
140560,0,"140560-15","Female"
141490,0,"141490-15","Female"
140040,0,"140040-15","Female"
140060,0.00732253936428673,"140060-15","Female"
140070,0.167561556316697,"140070-15","Female"
140290,0.0371505373061335,"140290-15","Female"
140300,0,"140300-15","Female"
140320,0,"140320-15","Female"
140340,0,"140340-15","Female"
140400,0,"140400-15","Female"
140600,0,"140600-15","Female"
140630,0.181378160245829,"140630-15","Female"
140650,0.062658849825675,"140650-15","Female"
140680,0,"140680-15","Female"
140710,0,"140710-15","Female"
140800,0,"140800-15","Female"
140850,0,"140850-15","Female"
140890,0,"140890-15","Female"
140960,0,"140960-15","Female"
140980,0,"140980-15","Female"
141010,0,"141010-15","Female"
141060,0.00703139511123541,"141060-15","Female"
141070,0,"141070-15","Female"
141080,0.0332108276337883,"141080-15","Female"
141100,0,"141100-15","Female"
141120,0,"141120-15","Female"
141130,0,"141130-15","Female"
141150,0,"141150-15","Female"
140940,0,"140940-15","Female"
140910,0,"140910-15","Female"
140050,0.128695912545363,"140050-15","Female"
150360,0,"150360-15","Female"
140380,0.195940285428344,"140380-15","Female"
140480,0.0570603338913298,"140480-15","Female"
150920,0.019599612419242,"150920-15","Female"
